law_id,law_name,gap_inr,gap_pct,severity,penalty,worker_id,state,industry,gender
1,"Minimum Wages Act, 1948",7334.0,40.74444444444445,HIGH,1233.4,3,Madhya Pradesh,Manufacturing,Female
2,"Equal Remuneration Act, 1976",4722.200453789137,26.08407914735998,HIGH,10708.330068068371,3,Madhya Pradesh,Manufacturing,Female
3,"Payment of Wages Act, 1936",5534.0,30.744444444444447,MEDIUM,476.7,3,Madhya Pradesh,Manufacturing,Female
6,"POSH Act, 2013 (Severe Discrimination)",2006.6356678263473,11.084079147359978,CRITICAL,50501.658916956585,3,Madhya Pradesh,Manufacturing,Female
1,"Minimum Wages Act, 1948",1800.0,9.230769230769232,MEDIUM,680.0,4,Uttar Pradesh,IT Services,Female
1,"Minimum Wages Act, 1948",3608.0,17.68627450980392,MEDIUM,860.8,5,Haryana,Chemicals,Male
3,"Payment of Wages Act, 1936",1568.0,7.686274509803921,MEDIUM,278.4,5,Haryana,Chemicals,Male
1,"Minimum Wages Act, 1948",6399.0,32.815384615384616,HIGH,1139.9,7,Uttar Pradesh,Construction,Male
3,"Payment of Wages Act, 1936",4449.0,22.815384615384616,MEDIUM,422.45000000000005,7,Uttar Pradesh,Construction,Male
1,"Minimum Wages Act, 1948",449.0,2.302564102564103,MEDIUM,544.9,8,Telangana,Manufacturing,Male
1,"Minimum Wages Act, 1948",7371.0,40.949999999999996,HIGH,1237.1,10,Tamil Nadu,Construction,Male
3,"Payment of Wages Act, 1936",5571.0,30.95,MEDIUM,478.55,10,Tamil Nadu,Construction,Male
7,"Building & Construction Workers Act, 1996",1140.6674975562073,8.237848461939066,MEDIUM,2091.2533998044964,10,Tamil Nadu,Construction,Male
1,"Minimum Wages Act, 1948",7296.0,40.53333333333333,HIGH,1229.6,11,Madhya Pradesh,Mining,Male
3,"Payment of Wages Act, 1936",5496.0,30.533333333333335,MEDIUM,474.8,11,Madhya Pradesh,Mining,Male
1,"Minimum Wages Act, 1948",1101.0,6.553571428571428,MEDIUM,610.1,12,Assam,Chemicals,Female
1,"Minimum Wages Act, 1948",3810.0,16.933333333333334,MEDIUM,881.0,13,Chhattisgarh,Food Processing,Female
3,"Payment of Wages Act, 1936",1560.0,6.933333333333333,MEDIUM,278.0,13,Chhattisgarh,Food Processing,Female
1,"Minimum Wages Act, 1948",13206.0,64.73529411764706,HIGH,1820.6000000000001,14,West Bengal,Silk,Female
2,"Equal Remuneration Act, 1976",8194.200453789137,45.26241003057451,HIGH,11229.13006806837,14,West Bengal,Silk,Female
3,"Payment of Wages Act, 1936",11166.0,54.73529411764706,MEDIUM,758.3000000000001,14,West Bengal,Silk,Female
6,"POSH Act, 2013 (Severe Discrimination)",5478.635667826347,30.262410030574504,CRITICAL,51369.658916956585,14,West Bengal,Silk,Female
1,"Minimum Wages Act, 1948",2374.0,10.99074074074074,MEDIUM,737.4,16,Gujarat,Chemicals,Male
3,"Payment of Wages Act, 1936",214.0,0.9907407407407408,MEDIUM,210.7,16,Gujarat,Chemicals,Male
1,"Minimum Wages Act, 1948",9468.0,46.411764705882355,HIGH,1446.8000000000002,17,Maharashtra,Construction,Male
3,"Payment of Wages Act, 1936",7428.0,36.411764705882355,MEDIUM,571.4000000000001,17,Maharashtra,Construction,Male
7,"Building & Construction Workers Act, 1996",837.6674975562073,6.049596329468235,MEDIUM,2067.0133998044967,17,Maharashtra,Construction,Male
1,"Minimum Wages Act, 1948",11714.0,54.23148148148148,HIGH,1671.4,18,Karnataka,Agriculture,Female
2,"Equal Remuneration Act, 1976",5502.200453789137,30.392575140708868,HIGH,10825.330068068371,18,Karnataka,Agriculture,Female
3,"Payment of Wages Act, 1936",9554.0,44.23148148148148,MEDIUM,677.7,18,Karnataka,Agriculture,Female
6,"POSH Act, 2013 (Severe Discrimination)",2786.6356678263473,15.392575140708864,CRITICAL,50696.658916956585,18,Karnataka,Agriculture,Female
8,Agricultural Labourers Act (State),2184.4155574374818,15.382678541483816,MEDIUM,1131.064933446249,18,Karnataka,Agriculture,Female
1,"Minimum Wages Act, 1948",11714.0,60.07179487179487,HIGH,1671.4,21,Uttar Pradesh,Construction,Male
3,"Payment of Wages Act, 1936",9764.0,50.07179487179487,MEDIUM,688.2,21,Uttar Pradesh,Construction,Male
4,"Contract Labour (R&A) Act, 1970",1906.667350928641,13.769864345155474,HIGH,5190.666735092864,21,Uttar Pradesh,Construction,Male
7,"Building & Construction Workers Act, 1996",3983.6674975562073,28.769864345155476,MEDIUM,2318.6933998044965,21,Uttar Pradesh,Construction,Male
1,"Minimum Wages Act, 1948",11984.0,55.481481481481474,HIGH,1698.4,22,Gujarat,Agriculture,Female
2,"Equal Remuneration Act, 1976",5772.200453789137,31.88397759994502,HIGH,10865.830068068371,22,Gujarat,Agriculture,Female
